"","hosts","tissues","hosts2","tissues2"
"AM905481_Candidatus_Lumbricincola_sp_Lt_GC_E6","vertebrate","auditory_tract","invertebrate","digestive_tract"
"AM905477_Candidatus_Lumbricincola_sp_Ef_GC_H1","vertebrate","auditory_tract","invertebrate","digestive_tract"
"FR839041_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"LT855370_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"LT855371_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839078_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839046_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839137_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839102_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839072_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839074_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839071_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839070_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839141_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839073_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839075_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839077_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"LT855372_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","no tag"
"LT855374_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","no tag"
"FR839094_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839103_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839100_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"LT855375_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"LT855373_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"FR839095_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"NR_026037_Mycoplasma_yeatsii","vertebrate","auditory_tract","vertebrate","auditory_tract"
"NR_026036_Mycoplasma_cottewii","vertebrate","auditory_tract","vertebrate","auditory_tract"
"KF115412_uncultured_Entomoplasma_sp","plant","digestive_tract","plant","digestive_tract"
"KF114982_uncultured_Entomoplasma_sp","plant","digestive_tract","plant","digestive_tract"
"KF115523_uncultured_Entomoplasma_sp","plant","digestive_tract","plant","digestive_tract"
"KF116083_uncultured_Entomoplasma_sp","plant","auditory_tract","plant","digestive_tract"
"KF115078_uncultured_Entomoplasma_sp","plant","digestive_tract","plant","digestive_tract"
"KF115306_uncultured_Entomoplasma_sp","plant","digestive_tract","plant","digestive_tract"
"AB234516_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"AB234515_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"AB255921_uncultured_Mollicutes_bacterium","plant","digestive_tract","invertebrate","digestive_tract"
"LN879437_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN811708_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN811707_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN811709_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN879439_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN878981_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN879438_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LT558769_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"HG792252_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LT558789_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN878982_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN879441_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN879440_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866574_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866573_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866571_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866579_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866567_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866572_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866580_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866568_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866569_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866576_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866566_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866570_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866578_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN866577_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LT558784_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"KF773150_Cymbopogon_citratus_white_leaf_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"LN879442_Phytoplasma_sp_PR07","plant","plant_tissue","plant","plant_tissue"
"LT558766_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LN879443_Phytoplasma_sp_PR08","plant","plant_tissue","plant","plant_tissue"
"KF773149_Tylophora_indica_little_leaf_yellowing_phytoplasma","vertebrate","plant_tissue","no tag","plant_tissue"
"LT558768_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LT558783_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"AY169323_Alfalfa_witches_broom_phytoplasma","vertebrate","plant_tissue","invertebrate","plant_tissue"
"FN257482_Eggplant_phyllody_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"KF773151_Prunus_persica_leaf_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"AY169322_Alfalfa_witches_broom_phytoplasma","vertebrate","plant_tissue","invertebrate","plant_tissue"
"LT558767_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"LT558787_Candidatus_Phytoplasma_aurantifolia","plant","plant_tissue","plant","plant_tissue"
"KF801674_Candidatus_Phytoplasma_pini","plant","plant_tissue","plant","plant_tissue"
"LN874221_Candidatus_Phytoplasma_omanense","vertebrate","plant_tissue","invertebrate","plant_tissue"
"LN874220_Candidatus_Phytoplasma_omanense","plant","plant_tissue","plant","plant_tissue"
"LT558776_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"LT558777_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"KF188427_Ranunculus_sceleratus_little_leaf_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"FJ862998_Napier_grass_stunt_phytoplasma","vertebrate","plant_tissue","no tag","plant_tissue"
"FJ862997_Napier_grass_stunt_phytoplasma","vertebrate","plant_tissue","no tag","plant_tissue"
"LT594116_Triticum_aestivum_yellow_stunting_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"LT558779_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"LT558773_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"LT558771_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"LT558780_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"LT558772_Candidatus_Phytoplasma_cynodontis","plant","plant_tissue","plant","plant_tissue"
"FM208257_Sugarcane_white_leaf_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"FM208256_Sugarcane_white_leaf_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"FM208255_Sugarcane_white_leaf_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"HF586651_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
"HF586647_Sugarcane_grassy_shoot_phytoplasma","plant","plant_tissue","plant","plant_tissue"
